audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
8,8,256,0.5,0.1,0.15,0.0003,0.003,4,8,0.01,2.8303463,0.94482404,0.64103,0.33965,0.7784256559766763,0.7726402443124951
8,8,256,0.5,0.1,0.15,0.0003,0.003,4,8,0.01,2.8751483,0.9597798,0.62537,0.3207,0.7419825072886297,0.7382254197177454
16,4,256,0.15,0.1,0.2,0.0005,0.0005,1,64,0.0,2.974473,0.9929363,0.63175,0.30029,0.7565597667638484,0.756177321624949
16,4,256,0.15,0.1,0.2,0.0005,0.0005,1,64,0.0,2.9149845,0.97307795,0.63822,0.33819,0.7478134110787172,0.747851871084116
16,4,256,0.15,0.1,0.2,0.0005,0.0005,1,64,0.0,2.8419952,0.94871265,0.66156,0.30612,0.7594752186588921,0.7584583381553728
16,4,256,0.15,0.1,0.2,0.0005,0.0005,1,64,0.0,2.900921,0.9683834,0.65616,0.31924,0.7551020408163265,0.7550241149091216
8,8,64,0.1,0.3,0.0,0.001,0.003,8,32,0.002,2.8085988,0.9375643,0.65658,0.3484,0.7623906705539358,0.7624269074376352
8,8,64,0.1,0.3,0.0,0.001,0.003,8,32,0.002,2.890447,0.9648868,0.6682,0.31633,0.7565597667638484,0.7562698539837993
8,8,64,0.1,0.3,0.0,0.001,0.003,8,32,0.002,2.9692702,0.99119943,0.61903,0.31195,0.7551020408163265,0.7527068043428631
8,8,64,0.1,0.3,0.0,0.001,0.003,8,32,0.002,2.9036694,0.96930075,0.62776,0.32216,0.7521865889212828,0.7510767523522627
16,4,256,0.1,0.3,0.2,0.001,0.003,4,8,0.001,3.0634062,1.0226239,0.61695,0.28134,0.760932944606414,0.7614643273562993
16,4,256,0.1,0.3,0.2,0.001,0.003,4,8,0.001,2.888318,0.9641761,0.64598,0.34402,0.750728862973761,0.7503372574722533
16,4,256,0.1,0.3,0.2,0.001,0.003,4,8,0.001,2.867137,0.95710546,0.65044,0.33673,0.760932944606414,0.7606920824071076
16,4,256,0.1,0.3,0.2,0.001,0.003,4,8,0.001,2.8080363,0.9373765,0.65834,0.34694,0.7667638483965015,0.7634601563233513
8,4,256,0.5,0.0,0.5,0.001,0.0005,1,4,0.002,2.8044546,0.9361809,0.67548,0.32653,0.7725947521865889,0.7708105992060953
8,4,256,0.5,0.0,0.5,0.001,0.0005,1,4,0.002,2.6762607,0.8933873,0.69246,0.34985,0.7798833819241983,0.7778040958194573
8,4,256,0.5,0.0,0.5,0.001,0.0005,1,4,0.002,2.7311406,0.9117073,0.67104,0.32945,0.7667638483965015,0.7647879082628118
8,4,256,0.5,0.0,0.5,0.001,0.0005,1,4,0.002,2.7936697,0.9325807,0.66013,0.32216,0.7711370262390671,0.770491996509142
8,8,64,0.1,0.5,0.3,0.001,0.0003,1,4,0.002,2.8565881,0.9535841,0.65596,0.32799,0.7594752186588921,0.7573605364637411
8,8,64,0.1,0.5,0.3,0.001,0.0003,1,4,0.002,2.8765643,0.9602524,0.64461,0.3207,0.7623906705539358,0.760146143169348
8,8,64,0.1,0.5,0.3,0.001,0.0003,1,4,0.002,2.8238266,0.9426476,0.66336,0.32216,0.7725947521865889,0.7719029833513645
8,8,64,0.1,0.5,0.3,0.001,0.0003,1,4,0.002,2.781454,0.9285029,0.66779,0.33819,0.7653061224489796,0.76419512084262
8,4,64,0.0,0.2,0.0,0.0003,0.003,8,4,0.01,4.251031,1.4190758,nan,0.15452,0.44752186588921283,0.27671543369181945
8,4,64,0.0,0.2,0.0,0.0003,0.003,8,4,0.01,2.8646448,0.95627356,0.66379,0.34402,0.7536443148688047,0.7529499835034713
8,4,64,0.0,0.2,0.0,0.0003,0.003,8,4,0.01,2.8552506,0.9531375,0.62764,0.33528,0.7682215743440233,0.7629938457227393
8,4,64,0.0,0.2,0.0,0.0003,0.003,8,4,0.01,2.9218414,0.9753669,0.61928,0.33382,0.7653061224489796,0.76419512084262
