audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Test MAE,Test Corr,Test multiclass accuracy,Test binary accuracy,Test f1_score
4,4,256,0.1,0.1,0.5,0.0005,0.0005,16,4,0.01,1.0752325,1.0752325,0.56251,0.29009,0.7448979591836735,0.7453168351891669
4,16,64,0.3,0.15,0.5,0.0005,0.001,8,16,0.001,1.0137781,1.0137783,0.61962,0.30904,0.7623906705539358,0.7618240440083862
8,8,64,0.3,0.3,0,0.001,0.0003,8,32,0.002,1.047687,1.047687,0.60246,0.27551,0.7463556851311953,0.7448137610119396
8,8,64,0.5,0.15,0,0.0003,0.0005,4,8,0,1.0341789,1.0341789,0.60745,0.30612,0.7448979591836735,0.7431271682345236
4,4,128,0.3,0.3,0.15,0.0003,0.0003,8,64,0.001,1.1210053,1.1210052,0.51962,0.26968,0.706997084548105,0.7073531133528275
4,16,128,0.2,0.3,0.1,0.0003,0.003,4,64,0.002,0.9525613,0.95256126,0.65938,0.34257,0.760932944606414,0.760856874077952
4,16,64,0.5,0.5,0.5,0.003,0.0003,1,128,0.01,1.0909423,1.0909423,0.55691,0.28134,0.7332361516034985,0.7334278798745024
16,4,128,0,0,0.1,0.0005,0.0003,4,128,0,1.0840693,1.0840693,0.5704,0.28717,0.7274052478134111,0.7265138318949839
4,8,256,0.2,0.1,0,0.003,0.0005,4,32,0.01,0.99635285,0.99635285,0.63665,0.28426,0.7667638483965015,0.7660543418988354
4,4,128,0.3,0.15,0.5,0.003,0.003,1,64,0,0.9610207,0.96102077,0.66197,0.31195,0.7740524781341108,0.7737833974101133
16,8,64,0,0,0,0.0003,0.003,4,64,0.001,0.98935485,0.9893549,0.63944,0.30612,0.750728862973761,0.749282879946013
16,16,128,0,0.15,0.15,0.0003,0.0003,4,8,0.002,0.9961897,0.9961896,0.63756,0.29883,0.7653061224489796,0.7647464483763813
4,8,128,0.3,0.15,0.2,0.0005,0.0003,1,8,0.002,1.0271792,1.0271791,0.61417,0.29155,0.760932944606414,0.7607765907816224
4,4,64,0.3,0.5,0.15,0.0005,0.003,16,8,0,0.943649,0.94364905,0.66305,0.35423,0.7871720116618076,0.7863246271514461
16,4,128,0.15,0.2,0.3,0.0003,0.003,1,64,0.002,0.96244633,0.9624463,0.64485,0.30612,0.7551020408163265,0.7540052611481184
4,16,256,0.2,0.3,0.15,0.001,0.001,8,4,0.002,0.96208066,0.96208054,0.65065,0.30904,0.7740524781341108,0.7711143749065055
8,16,64,0.15,0.2,0.2,0.0005,0.001,16,32,0.001,1.023663,1.0236629,0.61885,0.30612,0.7682215743440233,0.7679455496013421
8,16,128,0,0.1,0.15,0.0003,0.0003,1,16,0.01,1.4174659,1.4174659,-0.06044,0.15452,0.44752186588921283,0.27671543369181945
16,8,128,0.2,0.5,0,0.0003,0.0003,8,16,0.002,1.0326264,1.0326265,0.60466,0.293,0.7463556851311953,0.745089057835999
8,8,64,0,0,0.2,0.0005,0.003,4,16,0.001,0.9682402,0.96824026,0.64527,0.33819,0.7638483965014577,0.7631300211725708
16,8,128,0,0.3,0.15,0.001,0.0005,1,4,0.001,0.94609356,0.9460935,0.67079,0.32362,0.7725947521865889,0.7721927613287508
